country_name,country_code,year,Time Code,pop_percent_65plus,continent
Japan,JPN,2020,YR2020,28.39727307,Asia
Italy,ITA,2020,YR2020,23.301893,Europe
Portugal,PRT,2020,YR2020,22.77226897,Europe
Finland,FIN,2020,YR2020,22.5544875,Europe
Greece,GRC,2020,YR2020,22.28438997,Europe
Germany,DEU,2020,YR2020,21.68744937,Europe
Bulgaria,BGR,2020,YR2020,21.46792556,Europe
Malta,MLT,2020,YR2020,21.32385747,Europe
Croatia,HRV,2020,YR2020,21.25223524,Europe
Puerto Rico,PRI,2020,YR2020,20.82735464,North_America
France,FRA,2020,YR2020,20.75345541,Europe
Slovenia,SVN,2020,YR2020,20.73775168,Europe
Latvia,LVA,2020,YR2020,20.68738277,Europe
Lithuania,LTU,2020,YR2020,20.61797994,Europe
Virgin Islands (U.S.),VIR,2020,YR2020,20.4960498,North_America
Estonia,EST,2020,YR2020,20.373228,Europe
Sweden,SWE,2020,YR2020,20.32880611,Europe
Denmark,DNK,2020,YR2020,20.16398945,Europe
Hungary,HUN,2020,YR2020,20.16310795,Europe
Czech Republic,CZE,2020,YR2020,20.14299026,Europe
Netherlands,NLD,2020,YR2020,20.03482139,Europe
Spain,ESP,2020,YR2020,19.9776117,Europe
Belgium,BEL,2020,YR2020,19.25423286,Europe
Romania,ROU,2020,YR2020,19.23091498,Europe
Austria,AUT,2020,YR2020,19.20400364,Europe
Switzerland,CHE,2020,YR2020,19.09754118,Europe
Serbia,SRB,2020,YR2020,19.05850169,Europe
Poland,POL,2020,YR2020,18.73945067,Europe
United Kingdom,GBR,2020,YR2020,18.65334671,Europe
"Hong Kong SAR, China",HKG,2020,YR2020,18.1967648,Asia
